Date,Country,MV_USD,PnL_USD,Country_Ret_USD
2025-03-21,JP,1372742.264607065,5922.097776561971,0.004332755632582322
2025-03-22,US,7601964.6,0.0,0.0
2025-03-22,HK,1845810.8842499082,0.0,0.0
2025-03-22,JP,1372742.264607065,0.0,0.0
2025-03-24,US,7813023.0,211058.3999999999,0.02776366519780951
2025-03-24,HK,1848639.7004008158,2933.2153873390835,0.0015892100998483867
2025-03-24,JP,1354596.8809790614,-8231.057436504712,-0.0060396893874029335
2025-03-25,US,7824545.0,11522.000000000235,0.0014747172765266704
2025-03-25,HK,2049922.775395841,-62188.06143065864,-0.03364405983485912
2025-03-25,JP,1333068.0172551202,-11673.099975964276,-0.008680555555555556
2025-03-26,US,7685390.8,-139154.20000000004,-0.017784318449187785
2025-03-26,HK,2377163.6947611873,-5317.780651111661,-0.0025947377338244805
2025-03-26,JP,1339219.7671688856,-1173.7245987457366,-0.0008756567425569177
2025-03-27,US,7645670.1,-39720.70000000014,-0.005168338349170239
2025-03-27,HK,2383420.2855393393,6256.590778152014,0.0026319562224260532
2025-03-27,JP,1326377.426164381,-8187.514976323339,-0.006134969325153374
2025-03-28,US,7459496.8,-186173.29999999978,-0.024350161276249654
2025-03-28,HK,2349733.8582413536,-33563.952331490545,-0.014082987104084649
2025-03-28,JP,1325422.446838222,2333.4902233067287,0.001763668430335097
2025-03-29,US,7459496.8,0.0,0.0
2025-03-29,HK,2349733.8582413536,0.0,0.0
2025-03-29,JP,1325422.446838222,0.0,0.0
2025-03-31,US,7384328.8,-75168.00000000023,-0.010076819122705463
2025-03-31,HK,2270424.4004885396,-78554.25840164442,-0.033441878283712784
2025-03-31,JP,1363374.442801342,27055.748217800578,0.020246478873239437
2025-04-01,US,7442045.4,57716.59999999982,0.007816092912872438
2025-04-01,HK,2265004.1754250773,-5186.70865228203,-0.0022847015590893743
2025-04-01,JP,1159829.4111432228,3522.0429167390184,0.0025884383088869713
2025-04-02,US,7516927.6,74882.2000000001,0.01006204557687865
2025-04-02,HK,2264621.2569553945,199.19039097269308,8.796522252360074e-05
2025-04-02,JP,1154076.193598344,-6759.778932311646,-0.005823199049883967
2025-04-03,US,6366720.2,-443307.3999999997,-0.05897454699443956
2025-04-03,HK,2197718.3027591836,-66233.71511507245,-0.029255794554013025
2025-04-03,JP,1190299.7668234212,21308.970781881922,0.0182285188677608
2025-04-04,US,5943257.8,-423462.4000000001,-0.06651185959137958
2025-04-04,HK,2199357.19574135,0.0,0.0
2025-04-04,JP,1184369.2286501809,-19287.975503461977,-0.016024475603936095
2025-04-05,US,5943257.8,0.0,0.0
2025-04-05,HK,2199357.19574135,0.0,0.0
2025-04-05,JP,1184369.2286501809,0.0,0.0
2025-04-07,US,5899748.4,-43509.39999999998,-0.00732079971358469
2025-04-07,HK,1783176.2555299199,-417909.92045750504,-0.18986531514152427
2025-04-07,JP,1155184.8724233946,-35683.0983883597,-0.02996394164840653
2025-04-08,US,5401722.2,-156176.20000000007,-0.0264716712326241
2025-04-08,HK,998611.0765577375,32644.697399363515,0.01829904067134967
2025-04-08,JP,450520.6702803159,24115.46166950596,0.02121403316627183
2025-04-09,US,3016680.4,415495.6000000001,0.07691909813503554
2025-04-09,HK,786645.5539324873,28508.17902422213,0.028552277092437146
2025-04-09,JP,445140.38504313305,-11385.374789000909,-0.024939172749391728
2025-04-10,US,2895074.4,-121606.00000000006,-0.040311197699298904
2025-04-10,HK,337581.0210315598,3865.43153852932,0.0049083769633507975
2025-04-10,JP,470030.31923279865,29582.968260365153,0.06716573092118944
2025-04-11,US,3413685.4,83682.99999999997,0.028905302053722683
2025-04-11,HK,331935.5425626601,-5800.815306920264,-0.017175572519083943
2025-04-11,JP,464503.62636022345,-17468.191367367886,-0.0362431800467654
2025-04-12,US,3413685.4,0.0,0.0
2025-04-12,HK,331935.5425626601,0.0,0.0
2025-04-12,JP,464503.62636022345,0.0,0.0
2025-04-14,US,4944609.0,17890.600000000057,0.005240846154130095
2025-04-14,HK,348809.9183879668,16763.508092582517,0.050485436893203915
2025-04-14,JP,463447.1411591969,-1221.328367133501,-0.0026283865750101093
2025-04-15,US,5005699.2,61090.20000000001,0.012354910165798753
2025-04-15,HK,354245.99156413873,5479.692317188688,0.01571164510166361
