Date,Country,MV_KRW,PnL_KRW,Country_Ret_KRW
2025-04-08,JP,662182352.7374268,35445284.088134766,0.021214033166271826
2025-04-09,US,4483179257.581884,617480478.0567873,0.07691909813503554
2025-04-09,HK,1169020722.65625,42365525.20751946,0.028552277092437146
2025-04-09,JP,661736171.143055,-16925254.533290863,-0.024939172749391728
2025-04-10,US,4180342538.518945,-175592977.76220712,-0.04031119769929889
2025-04-10,HK,488574950.25634766,5594369.659423842,0.0049083769633507975
2025-04-10,JP,680201084.3925476,42810785.31932831,0.06716573092118944
2025-04-11,US,4956807881.563086,121511066.58886713,0.02890530205372268
2025-04-11,HK,481936812.97302246,-8422196.73156737,-0.017175572519083943
2025-04-11,JP,674376937.0250702,-25360717.809677124,-0.0362431800467654
2025-04-12,US,4956807881.563086,0.0,0.0
2025-04-12,HK,481936812.97302246,0.0,0.0
2025-04-12,JP,674376937.0250702,0.0,0.0
2025-04-14,US,7016647642.885986,25387656.803564537,0.0052408461541300945
2025-04-14,HK,494956059.2651367,23787167.358398452,0.050485436893203915
2025-04-14,JP,657535677.9356003,-1732812.4494552612,-0.0026283865750101093
2025-04-15,US,7105189778.441015,86712654.36862795,0.012354910165798753
2025-04-15,HK,502816061.01989746,7777864.456176771,0.01571164510166361
2025-04-15,JP,662524161.8285179,2675243.9403533936,0.004054327995134806
2025-04-16,US,6926158680.436523,-217074289.715039,-0.03038880162835193
2025-04-16,HK,484723359.7564697,-20695020.10345459,-0.04094631483166515
2025-04-16,JP,659778220.1328278,-6728311.443328857,-0.010094891984655765
2025-04-17,US,6949361224.807714,85280047.74423818,0.012424102446399365
2025-04-17,HK,494760234.29870605,15020319.900512682,0.031309297912713446
2025-04-17,JP,666492630.9700012,7260561.241149902,0.011013665102998164
2025-04-18,US,6949361224.807714,0.0,0.0
2025-04-18,HK,494760234.29870605,0.0,0.0
2025-04-18,JP,668509453.5369873,2016822.566986084,0.003026023804720597
2025-04-19,US,6949361224.807714,0.0,0.0
2025-04-19,HK,494760234.29870605,0.0,0.0
2025-04-19,JP,668509453.5369873,0.0,0.0
2025-04-21,US,6758159311.370313,-191201913.4374022,-0.027513595458939846
2025-04-21,HK,494760234.29870605,0.0,0.0
2025-04-21,JP,654526150.4058838,-13983303.131103516,-0.02091713596138375
2025-04-22,US,6072786384.197388,165407531.37634265,0.024347661515570124
2025-04-22,HK,503838554.3823242,5954455.642700182,0.011959521619135207
2025-04-22,JP,688919607.293129,25747638.0815506,0.038824979457682825
2025-04-23,US,6207646579.728516,102481074.62329102,0.016785961746261412
2025-04-23,HK,534222427.36816406,27632194.51904297,0.05454545454545454
2025-04-23,JP,710078212.5663757,26364290.070533752,0.038560411311053984
2025-04-24,US,7554476373.796338,174291357.86391613,0.02813140399754958
2025-04-24,HK,523008466.9494629,-10110884.246826185,-0.018965517241379334
2025-04-24,JP,717209756.8545341,10893304.013729095,0.015422696115765423
2025-04-25,US,7824192642.596094,250597146.39169914,0.03308826653302109
2025-04-25,HK,1068576159.6226196,8294504.01306151,0.015817223198594
2025-04-25,JP,723672263.6547089,3107629.2128562927,0.004312769548096756
2025-04-26,US,7824192642.596094,0.0,0.0
2025-04-26,HK,1068576159.6226196,0.0,0.0
2025-04-26,JP,723672263.6547089,0.0,0.0
2025-04-28,US,6680407367.454565,-49331632.05725091,-0.006272991158703213
2025-04-28,HK,534076779.6675415,-12979676.568847544,-0.012082816140688256
2025-04-28,JP,0.0,0.0,0.0
2025-04-29,US,6036463950.487427,39136919.765087776,0.0058645014517526226
2025-04-29,HK,532215335.84594727,-925591.8884277475,-0.0017347401844931127
2025-04-29,JP,0.0,0.0,
2025-04-30,US,5622463897.238525,27906189.50646978,0.0046381829569195464
2025-04-30,HK,541837060.9283447,11528448.104858398,0.021739130434782608
2025-04-30,JP,0.0,0.0,
2025-05-01,US,4630556092.5,5695.000000029802,1.0181728582669622e-06
2025-05-01,HK,539261011.1236572,0.0,0.0
2025-05-01,JP,0.0,0.0,
2025-05-02,US,4825900812.181299,158430444.98476553,0.033943535260176724
2025-05-02,HK,564275270.8435059,20813432.121276855,0.03829787234042553
2025-05-02,JP,0.0,0.0,
2025-05-03,US,4825900812.181299,0.0,0.0
2025-05-03,HK,564275270.8435059,0.0,0.0
2025-05-03,JP,0.0,0.0,
2025-05-05,US,4707166246.211011,2997283.1923097363,0.0006371546634214336
2025-05-05,HK,550517088.3178711,0.0,0.0
2025-05-05,JP,0.0,0.0,
2025-05-06,US,4584407378.748682,-40217639.419116236,-0.008696410900585799
2025-05-06,HK,548824501.953125,7979677.734374987,0.014754098360655714
2025-05-06,JP,0.0,0.0,
2025-05-07,US,4584812372.77207,-929344.5332030375,-0.00020265958933011075
2025-05-07,HK,537816669.845581,-11084432.601928711,-0.020193861066235864
2025-05-07,JP,0.0,0.0,
2025-05-08,US,2792140409.716797,32519410.537109446,0.006978540236142697
2025-05-08,HK,546630327.9876709,899803.0090332159,0.00164880461665295
2025-05-08,JP,0.0,0.0,
2025-05-09,US,2276349473.8924804,-33494737.337500088,-0.011940023640638307
2025-05-09,HK,557910872.4975586,9479068.222045872,0.017283950617283904
2025-05-09,JP,0.0,0.0,
2025-05-10,US,2276349473.8924804,0.0,0.0
2025-05-10,HK,557910872.4975586,0.0,0.0
2025-05-10,JP,0.0,0.0,
2025-05-12,US,2328495274.0393553,66220350.9658203,0.029271575390957826
2025-05-12,HK,588365214.84375,34082131.34765622,0.061488673139158526
2025-05-12,JP,0.0,0.0,
2025-05-13,US,6449040289.139063,53521120.60532241,0.02264667859578927
2025-05-13,HK,1718831500.5111694,-23172193.107604954,-0.03887195121951215
2025-05-13,JP,0.0,0.0,
2025-05-14,US,6541209734.4,92306207.99999987,0.014313473231864018
2025-05-14,HK,1776175950.6225586,58570219.23065201,0.034099920697858936
2025-05-14,JP,0.0,0.0,
2025-05-15,US,6430527685.898218,-70630794.36848143,-0.010864339730045146
2025-05-15,HK,1743449158.2870483,-20288392.066955566,-0.011503067484662576
2025-05-15,JP,0.0,0.0,
2025-05-16,US,6387300702.290625,3882318.6342774006,0.0006081880273142389
2025-05-16,HK,1656418059.310913,-73827385.13946533,-0.04266873545384019
2025-05-16,JP,0.0,0.0,
2025-05-17,US,6387300702.290625,0.0,0.0
2025-05-17,HK,1656418059.310913,0.0,0.0
2025-05-17,JP,0.0,0.0,
2025-05-19,US,5592587689.023486,-3923432.4197024144,-0.0006137674992196538
2025-05-19,HK,1599569201.6601562,-56360659.79003911,-0.03403565640194492
2025-05-19,JP,0.0,0.0,
2025-05-20,US,6217586090.760351,-26964253.39819328,-0.004854691258235761
2025-05-20,HK,2635960399.77417,33288156.509399414,0.02097315436241611
2025-05-20,JP,0.0,0.0,
2025-05-21,US,6076375057.306641,-159927740.74921876,-0.025644640090130892
2025-05-21,HK,2671763125.0457764,30385608.245849423,0.011503697617091137
2025-05-21,JP,0.0,0.0,
2025-05-22,US,6030121518.225342,36074815.495361194,0.006018440843801061
2025-05-22,HK,3305262215.5792236,-85638556.76269531,-0.03249390739236393
2025-05-22,JP,0.0,0.0,
2025-05-23,US,6029740128.256933,-33212385.602197,-0.005477922765563105
2025-05-23,HK,3964342100.553894,-22206406.86492914,-0.006681851486094723
2025-05-23,JP,0.0,0.0,
2025-05-24,US,6029740128.256933,0.0,0.0
2025-05-24,HK,3964342100.553894,0.0,0.0
2025-05-24,JP,0.0,0.0,
2025-05-26,US,6537109012.076563,0.0,0.0
2025-05-26,HK,3843947567.0036316,-71309912.09106433,-0.018213339089911643
2025-05-26,JP,0.0,0.0,
2025-05-27,US,6652266832.96875,99015414.87304683,0.015109356952127975
2025-05-27,HK,3839031440.283203,-11678949.902343873,-0.003032933853480764
2025-05-27,JP,0.0,0.0,
2025-05-28,US,6634086087.299707,-50759267.56279321,-0.007593185013004279
2025-05-28,HK,3815620490.6158447,-41525229.66384882,-0.010765792291829123
2025-05-28,JP,0.0,0.0,
2025-05-29,US,6617244806.866552,-11050337.08359366,-0.0016671462033008067
2025-05-29,HK,3915343323.109436,101413416.91436751,0.02659026762648128
2025-05-29,JP,0.0,0.0,
2025-05-30,US,6500609613.961084,-101267819.88574207,-0.015339245676776319
2025-05-30,HK,3818321671.7147827,-84790422.65853855,-0.02172379901176074
2025-05-30,JP,0.0,0.0,
2025-05-31,US,6500609613.961084,0.0,0.0
2025-05-31,HK,3818321671.7147827,0.0,0.0
2025-05-31,JP,0.0,0.0,
2025-06-02,US,6670344396.237012,114804672.46874978,0.01751261944954818
2025-06-02,HK,3840047121.6918945,-10036033.215332093,-0.002606705572720006
2025-06-02,JP,0.0,0.0,
2025-06-03,US,6666749549.246582,24978972.093017653,0.0037608905340603916
2025-06-03,HK,3859606411.5509033,37127455.30014042,0.009712926016094142
2025-06-03,JP,0.0,0.0,
2025-06-04,US,6642218884.626856,-32524661.980371322,-0.004872795749119623
2025-06-04,HK,3918971366.8006897,55185154.98733504,0.014282662642826582
2025-06-04,JP,0.0,0.0,
2025-06-05,US,6849429640.295141,8982649.338427851,0.0013688800198524706
2025-06-05,HK,3821641746.4645386,-50632135.43090817,-0.013075556372093226
2025-06-05,JP,0.0,0.0,
2025-06-06,US,6935662249.423193,119143513.19482422,0.017478645303445207
2025-06-06,HK,3749973894.126892,-52335455.01022346,-0.013764123379940223
2025-06-06,JP,0.0,0.0,
2025-06-07,US,6935662249.423193,0.0,0.0
2025-06-07,HK,3749973894.126892,0.0,0.0
2025-06-07,JP,0.0,0.0,
2025-06-09,US,6982596931.841016,23177178.71884773,0.0033303320594292186
